"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"CDH7"	0.253783687602978	0.00369221823560681	-2.93751381410737	-2.38240777111683	-0.0531541764572385	"CDH7"	"CDH7"
"C14orf143"	0.253783687602978	0.00370692924371999	-2.9362272623168	-2.38597201326942	-0.037911464467256	"C14orf143"	"C14orf143"
"DSCR4"	0.253783687602978	0.00372603411866574	2.93456340630746	-2.39057941070466	0.0475934964269933	"DSCR4"	"DSCR4"
"REV3L"	0.253783687602978	0.00374520920974768	-2.93290127238397	-2.39517964931204	-0.0634812390431218	"REV3L"	"REV3L"
"GFRA3"	0.253783687602978	0.00374903654438794	-2.93257044480734	-2.39609498585644	-0.0429856488877312	"GFRA3"	"GFRA3"
"LPHN1"	0.253783687602978	0.00376020258098111	-2.93160703786651	-2.39876000914784	-0.032139422203139	"LPHN1"	"LPHN1"
"B4GALT5"	0.253783687602978	0.00377322708310432	2.93048658647733	-2.40185844668954	0.0525661267174043	"B4GALT5"	"B4GALT5"
"DOCK3"	0.253783687602978	0.00379495079723713	-2.92862562741536	-2.40700224557226	-0.06325518262151	"DOCK3"	"DOCK3"
"NSFL1C"	0.253783687602978	0.00381121982005499	2.92723831964675	-2.41083489543338	0.0432368790294018	"NSFL1C"	"NSFL1C"
"UTP18"	0.253783687602978	0.00381467068100857	-2.92694475154791	-2.41164570872078	-0.0860040874384209	"UTP18"	"UTP18"
"BAHD1"	0.253783687602978	0.00382545516471016	2.92602886944088	-2.41417482782359	0.0472287214213176	"BAHD1"	"BAHD1"
"UPF3A"	0.257001692856632	0.00391675707250252	-2.91836829177983	-2.43530033264711	-0.0717114261575343	"UPF3A"	"UPF3A"
"SRPK2"	0.257001692856632	0.00391724685533055	2.91832763963545	-2.43541230317159	0.0444145760198331	"SRPK2"	"SRPK2"
"SOX12"	0.258763823736683	0.00397837549824517	2.91329009078247	-2.44927643401869	0.0447965090799131	"SOX12"	"SOX12"
"HIVEP2"	0.258763823736683	0.00398768671526847	-2.91252898525086	-2.45136920527682	-0.0657392595187367	"HIVEP2"	"HIVEP2"
"CDH20"	0.270537797694158	0.00419191198111368	-2.896231467456	-2.49606113192192	-0.0361725396698624	"CDH20"	"CDH20"
"DUSP14"	0.270776808843963	0.00429499432678215	-2.88827911204624	-2.5177848699187	-0.048990208477689	"DUSP14"	"DUSP14"
"JAG1"	0.270776808843963	0.00429826332094624	-2.88802978707694	-2.51846507248532	-0.0266013249176741	"JAG1"	"JAG1"
"GSTT1"	0.270776808843963	0.00431094595455992	2.88706412405396	-2.52109906247616	0.202586475915778	"GSTT1"	"GSTT1"
"NR4A1"	0.270776808843963	0.00431914330948909	-2.8864413524735	-2.52279733541651	-0.131904916663	"NR4A1"	"NR4A1"
"UGGT2"	0.270776808843963	0.00434333425906582	-2.88460978497473	-2.52778999417005	-0.0533490385132963	"UGGT2"	"UGGT2"
"SEC24D"	0.270776808843963	0.00434600072465604	2.88440846951489	-2.52833858105562	0.0306944469477648	"SEC24D"	"SEC24D"
"PDE1A"	0.270776808843963	0.00435523119909027	2.88371244806872	-2.53023497607739	0.080880955237	"PDE1A"	"PDE1A"
"NUP98"	0.276466153885902	0.00449176526113207	-2.87357143160663	-2.55781766818298	-0.0223021901437365	"NUP98"	"NUP98"
"FKBP1A"	0.276466153885902	0.00449330254315613	2.87345886123042	-2.55812334835708	0.0277458514618471	"FKBP1A"	"FKBP1A"
"DYNLT3"	0.277595176342167	0.00453794061550984	-2.87020538765012	-2.56695325994763	-0.0498437904701596	"DYNLT3"	"DYNLT3"
"HSPA12A"	0.277595176342167	0.00455840500098716	-2.86872358174289	-2.57097182338884	-0.0469618664302169	"HSPA12A"	"HSPA12A"
"DDX1"	0.277762091379105	0.0045994512185962	-2.86576967373207	-2.57897693633716	-0.0509823285868982	"DDX1"	"DDX1"
"C6orf35"	0.277762091379105	0.00460792690540494	2.86516271475813	-2.58062085972747	0.0554111814801761	"C6orf35"	"C6orf35"
"TRIM23"	0.280445635214556	0.0046920907571597	2.85919024302615	-2.59677995835036	0.0450497067887042	"TRIM23"	"TRIM23"
"TMCO3"	0.280445635214556	0.00470142567211089	2.85853384677999	-2.59855400840906	0.0417947736057817	"TMCO3"	"TMCO3"
"ENDOG"	0.280445635214556	0.00472921605542944	2.85658674341352	-2.60381426183839	0.0668533952540261	"ENDOG"	"ENDOG"
"NRG1"	0.280445635214556	0.00480706300973303	2.85118750760628	-2.61838345603598	0.0195625742040297	"NRG1"	"NRG1"
"SOX2"	0.280445635214556	0.00482564717904169	-2.84991035646013	-2.62182598322852	-0.0647556242219725	"SOX2"	"SOX2"
